セクション名,動画番号,動画URL,動画タイトル,タングル名
ステップアウト７,5,https://www.youtube.com/watch?v=giDVNVZRmOg,ゼンタングル®︎タングル・トゥードゥルズ,トゥードゥルズ
ステップアウト７,6,https://www.youtube.com/watch?v=K9YjpOImOdk,ゼンタングル®︎タングル・ペッパー,ペッパー
ステップアウト７,7,https://www.youtube.com/watch?v=2GoW5kSOX5Y,ゼンタングル®︎タングル・フェスチューン,フェスチューン
ステップアウト７,8,https://www.youtube.com/watch?v=0bpCJI4CiHY,ゼンタングル®︎タングル・ストライピング,ストライピング
ステップアウト７,9,https://www.youtube.com/watch?v=FS94-YU0CcI,ゼンタングル®︎タングル・バンゾー,バンゾー
ステップアウト７,10,https://www.youtube.com/watch?v=FhTNzNidQ-4,ゼンタングル®︎タングル・インディレラ,インディレラ
ステップアウト７,11,https://www.youtube.com/watch?v=UfD4q0XCiSA,ゼンタングル®︎タングル・ミアー,ミアー
ステップアウト７,12,https://www.youtube.com/watch?v=AfWr3SehLrA,ゼンタングル®︎タングル・オーナマト,オーナマト
ステップアウト７,13,https://www.youtube.com/watch?v=y1LAoucnEsY,ゼンタングル®︎タングル・ドゥループ,ドゥループ
ステップアウト７,14,https://www.youtube.com/watch?v=pVZyGDsWHBM,ゼンタングル®︎タングル・アンブル,アンブル
ステップアウト８,1,https://www.youtube.com/watch?v=Au-01kqp3p4,ゼンタングル®︎タングル・ダブリューツー,ダブリューツー
ステップアウト８,2,https://www.youtube.com/watch?v=3CIftLR0xes,ゼンタングル®︎タングル・ワイフォー,ワイフォー
ステップアウト８,3,https://www.youtube.com/watch?v=KjCEuYVlYVU,ゼンタングル®︎タングル・スワーム,スワーム
ステップアウト８,4,https://www.youtube.com/watch?v=B6HRHO5n1aw,ゼンタングル®︎タングル・ハイブリッド,ハイブリッド
ステップアウト８,5,https://www.youtube.com/watch?v=UlnlvUhIrr8,ゼンタングル®︎タングル・タイディングス,タイディングス
ステップアウト８,6,https://www.youtube.com/watch?v=GoakCj-KXNU,ゼンタングル®︎タングル・イーク,イーク
ステップアウト８,7,https://www.youtube.com/watch?v=431ctiv9jEY,ゼンタングル®︎タングル・デュード,デュード
ステップアウト８,8,https://www.youtube.com/watch?v=lMkVA0U16e4,ゼンタングル®︎タングル・スタティック,スタティック
ステップアウト８,9,https://www.youtube.com/watch?v=iooT_LSj0UM,ゼンタングル®︎タングル・リックスティー,リックスティー
ステップアウト８,10,https://www.youtube.com/watch?v=iWHOd9JdX-o,ゼンタングル®︎タングル・ファンダバウト,ファンダバウト
ステップアウト８,11,https://www.youtube.com/watch?v=fuTcK9pKY5w,ゼンタングル®︎タングル・イニックス　フロンドス,イニックス
ステップアウト８,12,https://www.youtube.com/watch?v=_FcHKA38oVk,ゼンタングル®︎タングル・クール,クール
ステップアウト９,1,https://www.youtube.com/watch?v=FlxlyG6j6f4,ゼンタングル®︎タングル・フェングル,フェングル
ステップアウト９,2,https://www.youtube.com/watch?v=dhO_krdJNUk,ゼンタングル®︎タングル・イクソラス,イクソラス
ステップアウト９,3,https://www.youtube.com/watch?v=7ArpkaQwL2w,ゼンタングル®︎タングル・マラス,マラス
ステップアウト９,4,https://www.youtube.com/watch?v=5viaXb-ode0,ゼンタングル®︎タングル・アイソコア,アイソコア
ステップアウト９,5,https://www.youtube.com/watch?v=hJ_xFn-zfCk,ゼンタングル®︎タングル・コーラン,コーラン
ステップアウト９,6,https://www.youtube.com/watch?v=82rNqa9IR5I,ゼンタングル®︎タングル・セナ,セナ
ステップアウト９,7,https://www.youtube.com/watch?v=Cawcesnm-sk,ゼンタングル®︎タングル・クォンダリー,クォンダリー
ステップアウト10,1,https://www.youtube.com/watch?v=nyj0Qc2JMT8,ゼンタングル®︎タングル・アルカス,アルカス
ステップアウト10,2,https://www.youtube.com/watch?v=wFCLiiJcjig,ゼンタングル®︎タングル・クィップル,クィップル
ステップアウト10,3,https://www.youtube.com/watch?v=9EDMrbW-bNU,ゼンタングル®︎タングル・パテナ,パテナ
ステップアウト10,4,https://www.youtube.com/watch?v=AclUOhfHEtk,ゼンタングル®︎タングル・セズ,セズ
ステップアウト10,5,https://www.youtube.com/watch?v=_FcHKA38oVk,ゼンタングル®︎タングル・クール,クール
ステップアウト10,6,https://www.youtube.com/watch?v=wuazWrLyjOU,ゼンタングル®︎タングル・コーラント,コーラント
ステップアウト10,7,https://www.youtube.com/watch?v=GoakCj-KXNU,ゼンタングル®︎タングル・イーク,イーク
ステップアウト11,1,https://www.youtube.com/watch?v=n3kI8TeVK2g,ゼンタングル®︎パターン・ラトゥーン,ゼンタングル®︎パターン・ラトゥーン
ステップアウト11,2,https://www.youtube.com/watch?v=ApCx3Bpysz0,ゼンタングル®︎タングル・パーク,パーク
ステップアウト11,3,https://www.youtube.com/watch?v=kVvQy8YoNPg,ゼンタングル®︎パターン・マイシーリアム,ゼンタングル®︎パターン・マイシーリアム
ステップアウト11,4,https://www.youtube.com/watch?v=MMN7wtRgkhw,ゼンタングル®︎パターン・サイム,ゼンタングル®︎パターン・サイム
ステップアウト11,5,https://www.youtube.com/watch?v=uARQ-xW4Tao,ゼンタングル®︎パターン・アイキャンディス,ゼンタングル®︎パターン・アイキャンディス
ステップアウト11,6,https://www.youtube.com/watch?v=EqphDrDaFO4,ゼンタングル®︎パターン・サンプソン,ゼンタングル®︎パターン・サンプソン
ステップアウト11,7,https://www.youtube.com/watch?v=R8qk3Bxyo6I,ゼンタングル®︎パターン。ホリス,ゼンタングル®︎パターン。ホリス
ステップアウト11,8,https://www.youtube.com/watch?v=t8GqyZ-WujA,ゼンタングル®︎パターン・ムーンパイ,ゼンタングル®︎パターン・ムーンパイ
ステップアウト11,9,https://www.youtube.com/watch?v=LPb05u-tBOg,ゼンタングル®︎パターン・プーヤン,ゼンタングル®︎パターン・プーヤン
ステップアウト12,1,https://www.youtube.com/watch?v=VqAwpl3X2oo,ゼンタングル®︎パターン・ウェイボップ,ゼンタングル®︎パターン・ウェイボップ
ステップアウト12,2,https://www.youtube.com/watch?v=ApCx3Bpysz0,ゼンタングル®︎タングル・パーク,パーク
ステップアウト12,3,https://www.youtube.com/watch?v=kVvQy8YoNPg,ゼンタングル®︎パターン・マイシーリアム,ゼンタングル®︎パターン・マイシーリアム
ステップアウト12,4,https://www.youtube.com/watch?v=Ay_zBIAzBC0,ゼンタングル®︎タングル・ナイツブリッジ,ナイツブリッジ
ステップアウト12,5,https://www.youtube.com/watch?v=hWH9WhVmeNg,ゼンタングル®︎パターン・ペッパー,ゼンタングル®︎パターン・ペッパー
ステップアウト12,6,https://www.youtube.com/watch?v=EPasXw64HNw,ゼンタングル®︎パターン・フェスキュー,ゼンタングル®︎パターン・フェスキュー
ステップアウト12,7,https://www.youtube.com/watch?v=VIXo55gZ4Y4,ゼンタングル®︎パターン・パンジア,ゼンタングル®︎パターン・パンジア
ステップアウト12,8,https://www.youtube.com/watch?v=EsHoZf_rXL8,ゼンタングル®︎パターン・マース,ゼンタングル®︎パターン・マース
ステップアウト12,9,https://www.youtube.com/watch?v=_oNgcJGtv8E,ゼンタングル®︎パターン・フルークス,ゼンタングル®︎パターン・フルークス
ステップアウト12,10,https://www.youtube.com/watch?v=6Rmn58yZPYU,ゼンタングル®︎パターン・ビーライト,ゼンタングル®︎パターン・ビーライト
ステップアウト12,11,https://www.youtube.com/watch?v=c_Jvn7W3ydQ,ゼンタングル®︎パターン・ラベル,ゼンタングル®︎パターン・ラベル
ステップアウト12,12,https://www.youtube.com/watch?v=v9q6CRS1PsQ,ゼンタングル®︎パターン・イニックス,ゼンタングル®︎パターン・イニックス
ステップアウト13,1,https://www.youtube.com/watch?v=J5BE407f7cw,ゼンタングル®︎パターン・ランブルズ,ゼンタングル®︎パターン・ランブルズ
ステップアウト13,2,https://www.youtube.com/watch?v=v4mGYD8vgyc,ゼンタングル®︎パターン・ランパス,ゼンタングル®︎パターン・ランパス
ステップアウト13,3,https://www.youtube.com/watch?v=3qU_Kv4m6kQ,ゼンタングル®︎パターン・トリポリ,ゼンタングル®︎パターン・トリポリ
ステップアウト13,4,https://www.youtube.com/watch?v=yPdJS_0ZpuI,ゼンタングル®︎パターン・プンツェル,ゼンタングル®︎パターン・プンツェル
ステップアウト13,5,https://www.youtube.com/watch?v=wVK6Nq97jG4,ゼンタングル®︎パターン・バーディゴー,ゼンタングル®︎パターン・バーディゴー
ステップアウト13,6,https://www.youtube.com/watch?v=pey-WeN5qfc,ゼンタングル®︎パターン・ファイフ,ゼンタングル®︎パターン・ファイフ
ステップアウト13,7,https://www.youtube.com/watch?v=SQz95pZ5zDM,ゼンタングル®︎パターン・モリゴン,ゼンタングル®︎パターン・モリゴン
