,,勉強会追加(1回無料＋以後お試し誘導&参加推奨),,,総参加数,参加UU,うち初参加,,勉強会後、興味あり,勉強会後、b-1開始数,勉強会後、b-2開始数,勉強会後、面談数,,相談会LINE追加,,,,,,,,,,,,,,,
,7days,,,46,252,182,30,,,8,,4,,3,,,,,,,,,,,,,,,
,×4,,,184,1008,728,120,,,32,,16,,12,,,,,,,,,,,,,,,
,28days,,,215,783,309,101,,,21,,11,,12,,,,,,,,,,,,,,,
,TREND,,,↓,↑,↑,↑,,,↑,,↑,,→,,,,,,,,,,,,,,,
,理想,,,500,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,↓ここに追加するＬＰ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,追加で止める,開始で止める,開始で止める,,予約で再開,,,１０人に２．５人,,,,,,,,,,,,,,,,,,
,"メリット：有料プランの中で
ゴールドプラン率＆継続率UP▶",,,"プロラインpresents
スケールアップ
ビジネスモデル相談会","1日締切
動画①見た","2日締切
動画②見た",,"1日締切
[予約]","プロラインpresents
古橋面談予約",[着座],"プロラインpresents
古橋面談着座",,"LISA& NA presents
LISA体験会予約",,"LISA& NA presents
LISA体験会
来場",,,,"LISA& NA presents
LISA入会",,年間計画,,,,,,,,
,7days,,,,,,,シナリオ移動,,,,,,,,,,,0,,,,,,,,,,
,×4,,,0,0,0,,,0,,0,,0,,0,,,,0,,0,,,,,,,,
,28days,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
,TREND,,,→,→,→,,13,→,12,→,,→,,→,,,,→,,→,,,,,,,,
,理想,,,180,,,,,126,,120,,84,,50,,,,25,,300,,,,,,,,
,理想新基準,,,100,70,70,,70,50,,40,,13,,10,,,,6,,72,,,,,,,,
,,,,※音声聞けよ,,,,,予約プレゼント：小笠原さんのセミナー,,視聴促す：小笠原さんのセミナー,,,,,,,,,,半年で150,,,,,,,,
,,,,5人中1人,,期限切れ翌日即再開,,,,,,,,,,,,,,,,,,,,,,,
,,,,20%,先頭に戻すは送る,先頭に戻すは送る,,,,,,,,,,,,,,,,,,,,,,,
,,,,100%,見ろループは送る,見ろループは送る,,,,,お試し中は有料プラン限定Zoom勉強会(セミナー)に無料参加できますので、アカウントを追加してください。,,,,,,,,２０億,,,,,,,,,,
,,,,122,シナリオ先頭に戻したら止める,シナリオ先頭に戻したら止める,,,38,,,,,,,,,,会費１２０万,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1666人,,,,,,,,,,
,,2025-08-20時点、予約人数と初参加人数,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,←勉強会登録時に予約しろシナリオに誘導に変更した成果が出だした,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,月間参加者数,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,開催数,ＵＵ,ＰＶ,,,,,,,,,,,,,,,,,,,,
,,,,,,2月,,,,,,,,,,,,,,,,,,,,,,,
,,月次データ,,,,3月,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4月,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5月,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6月,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7月,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8月,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,9月,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,水22時,土10時,,,,,,,,,,,,,,,,,,,,,,
,,,,,,水22時,日10時,,,,,,,,,,,,,,,,,,,,,,
