,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,入社数,1,,2,1,,,,1,2,1,3,,1,2,2,,1,,,,2,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次単価,"166,666","79,166","160,000","456,250","241,666","166,666","79,166","160,000","358,333","241,666","166,666","79,166","160,000","341,666","241,666","166,666","79,166","160,000","382,916","241,666","166,666","79,166","160,000","320,833","241,666","166,666","79,166","187,500","455,833","241,666","166,666","83,333","187,500","554,166","241,666","166,666","83,333","187,500","554,166","241,666","166,666","83,333","187,500","425,000","241,666","166,666","83,333",,,,"166,666","83,333",,,,"166,666",,,,
,採用単価,"166,666",,"80,000","456,250",,,,"160,000","179,166","241,666","55,555",,"160,000","170,833","120,833",,"79,166",,,,"83,333",,"80,000",,,,,,"227,916",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025年7月,,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda
,入社数,1,,5,,,,1,3,1,,1,,2,4,1,3,,,1,1,1,,,1,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,月次単価,"166,666","79,166","160,000","456,250","241,666","166,666","79,166","160,000","358,333","241,666","166,666","79,166","160,000","341,666","241,666","166,666","79,166","160,000","382,916","241,666","166,666","79,166","160,000","320,833","241,666","166,666","79,166","187,500","455,833","241,666","166,666","83,333","187,500","554,166","241,666","166,666","83,333","187,500","554,166","241,666","166,666","83,333","187,500","425,000","241,666","166,666","83,333",,,,"166,666","83,333",,,,"166,666",,,,
,採用単価,"183,333",,"32,000",,,,"79,166","53,333","358,333",,"166,666",,"80,000","85,416","241,666","55,555",,,"382,916","241,666","166,666",,,,"120,833",,,,,,,,,,,,,,,,"166,666",,,,,,,,,,,,,,,,,,,
2025年8月,,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda
,入社数,,,4,,2,,,2,,1,,,1,3,,,,,1,,1,1,1,,2,1,,1,,1,,,,,,,,2,,,1,,,1,,,,,,,,,,,,,,,,
,月次単価,"166,666","79,166","160,000","456,250","241,666","166,666","79,166","160,000","358,333","241,666","166,666","79,166","160,000","341,666","241,666","166,666","79,166","160,000","382,916","241,666","166,666","79,166","160,000","320,833","241,666","166,666","79,166","187,500","455,833","241,666","166,666","83,333","187,500","554,166","241,666","166,666","83,333","187,500","554,166","241,666","166,666","83,333","187,500","425,000","241,666","166,666","83,333",,,,"166,666","83,333",,,,"166,666",,,,
,採用単価,,,"40,000",,"120,833",,,"80,000",,"241,666",,,"160,000","113,888",,,,,"382,916",,"166,666","79,166","160,000",,"120,833","166,666",,"187,500",,"241,666",,,,,,,,"93,750",,,"166,666",,,"425,000",,,,,,,,,,,,,,,,
2025年9月,,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda
,入社数,,,1,1,2,1,,,3,,1,,2,2,1,,,,,2,,,2,,1,,,,2,,,,,,,,,3,,,,,1,3,,,,,,,,,,,,,,,,
,月次単価,"166,666","79,166","160,000","456,250","241,666","166,666","79,166","160,000","358,333","241,666","166,666","79,166","160,000","341,666","241,666","166,666","79,166","160,000","382,916","241,666","166,666","79,166","160,000","320,833","241,666","166,666","79,166","187,500","455,833","241,666","166,666","83,333","187,500","554,166","241,666","166,666","83,333","187,500","554,166","241,666","166,666","83,333","187,500","425,000","241,666","166,666","83,333",,,,"166,666","83,333",,,,"166,666",,,,
,採用単価,,,"160,000","456,250","120,833","166,666",,,"119,444",,"166,666",,"80,000","170,833","241,666",,,,,"120,833",,,"80,000",,"241,666",,,,"227,916",,,,,,,,,"62,500",,,,,"187,500","141,666",,,,,,,,,,,,,,,,
2025年10月,,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda
,入社数,,,3,1,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次単価,"166,666","79,166","160,000","456,250","241,666","166,666","79,166","160,000","358,333","241,666","166,666","79,166","160,000","341,666","241,666","166,666","79,166","160,000","382,916","241,666","166,666","79,166","160,000","320,833","241,666","166,666","79,166","187,500","455,833","241,666","166,666","83,333","187,500","554,166","241,666","166,666","83,333","187,500","554,166","241,666","166,666","83,333","187,500","425,000","241,666","166,666","83,333",,,,"166,666","83,333",,,,"166,666",,,,
,採用単価,,,,"456,250",,,,,,,"166,666",,,,,,,,,,"166,666",,"53,333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025年11月,,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda
,入社数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次単価,"166,666","79,166","160,000","456,250","241,666","166,666","79,166","160,000","358,333","241,666","166,666","79,166","160,000","341,666","241,666","166,666","79,166","160,000","382,916","241,666","166,666","79,166","160,000","320,833","241,666","166,666","79,166","187,500","455,833","241,666","166,666","83,333","187,500","554,166","241,666","166,666","83,333","187,500","554,166","241,666","166,666","83,333","187,500","425,000","241,666","166,666","83,333",,,,"166,666","83,333",,,,"166,666",,,,
,採用単価,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025年12月,,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda
,入社数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次単価,"166,666","79,166","160,000","456,250","241,666","166,666","79,166","160,000","358,333","241,666","166,666","79,166","160,000","341,666","241,666","166,666","79,166","160,000","382,916","241,666","166,666","79,166","160,000","320,833","241,666","166,666","79,166","187,500","455,833","241,666","166,666","83,333","187,500","554,166","241,666","166,666","83,333","187,500","554,166","241,666","166,666","83,333","187,500","425,000","241,666","166,666","83,333",,,,"166,666","83,333",,,,"166,666",,,,
,採用単価,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,年間予算,"2,000,000","950,000","1,920,000","5,475,000","2,900,000","2,000,000","950,000","1,920,000","4,300,000","2,900,000","2,000,000","950,000","1,920,000","4,100,000","2,900,000","2,000,000","950,000","1,920,000","4,595,000","2,900,000","2,000,000","950,000","1,920,000","3,850,000","2,900,000","2,000,000","950,000","2,250,000","5,470,000","2,900,000","2,000,000","1,000,000","2,250,000","6,650,000","2,900,000","2,000,000","1,000,000","2,250,000","6,650,000","2,900,000","2,000,000","1,000,000","2,250,000","5,100,000","2,900,000","2,000,000","1,000,000",,,,"2,000,000","1,000,000",,,,"2,000,000",,,,
,直近半年の平均,"249,999","712,494","75,789","821,250","543,749","374,999","237,498","144,000","460,714","1,087,497","149,999","356,247","180,000","236,538","543,749","374,999","356,247",#DIV/0!,"861,561","543,749","187,499","712,494","144,000","2,887,497","434,999","1,499,994",#DIV/0!,"1,687,500","1,025,624","2,174,994",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,"337,500",#DIV/0!,#DIV/0!,"749,997",#DIV/0!,"1,687,500","956,250",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,直近3ヶ月の平均,"175,000",#DIV/0!,"50,667","456,250","120,833.00",#DIV/0!,79166,"97,778","268,750","241,666","111,111",#DIV/0!,"133,333","123,379","181,250",55555,"79,166",#DIV/0!,"382,916.00",241666,"138,888","79,166.00","120,000",#DIV/0!,"120,833.00","166,666.00",#DIV/0!,"187,500.00","227,916","241,666.00",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,"93,750.00",#DIV/0!,#DIV/0!,"166,666.00",#DIV/0!,#DIV/0!,425000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,直近2ヶ月の平均,"183,333",#DIV/0!,"36,000",#DIV/0!,"120,833.00",#DIV/0!,"79,166","66,667","358,333","241,666.00","166,666",#DIV/0!,"120,000","99,652","241,666","55,555",#DIV/0!,#DIV/0!,"382,916","241,666","166,666","79,166.00","160,000.00",#DIV/0!,"120,833","166,666.00",#DIV/0!,"187,500.00",#DIV/0!,"241,666.00",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,"93,750.00",#DIV/0!,#DIV/0!,"166,666",#DIV/0!,#DIV/0!,"79,166","66,667","358,333",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,半年平均,エン,エンダイ,マイナビ,type,doda,採用単価平均,※赤文字はそもそも一人も媒体から入社していないものがある,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ミカタ,"¥249,999","¥712,494","¥75,789","¥821,250","¥543,749","¥480,656",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ファースト,"¥374,999","¥237,498","¥144,000","¥460,714","¥1,087,497","¥460,941",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ノイエ,"¥149,999","¥356,247","¥180,000","¥236,538","¥543,749","¥293,307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ケンブリ,"¥374,999","¥356,247",,"¥861,561","¥543,749","¥534,139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,カンゲン,"¥187,499","¥712,494","¥144,000","¥2,887,497","¥434,999","¥873,298",↑立ち上げ期計算に含んでおらず,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,オクパ,"¥1,499,994",,"¥1,687,500","¥1,025,624","¥2,174,994","¥1,597,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,アイエグ,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,エメタ,,,"¥337,500",,,"¥337,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,エンキャピ,"¥749,997",,"¥1,687,500","¥956,250",,"¥1,131,249",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,512498,474996,608041,1035633,888123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3ヵ月平均,エン,エンダイ,マイナビ,type,doda,採用単価平均,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ミカタ,"¥175,000",,"¥36,000",,"¥120,833",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ファースト,,"¥79,166","¥97,778","¥268,750","¥241,666",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ノイエ,"¥166,666",,"¥120,000","¥99,652","¥241,666",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ケンブリ,"¥55,555",,,"¥382,916","¥241,666",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,カンゲン,"¥166,666","¥79,166",,"¥160,000","¥120,833",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,オクパ,"¥166,666",,"¥187,500",,"¥241,666",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,アイエグ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,エメタ,,,"¥93,750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,エンキャピ,"¥166,666",,,"¥79,166","¥66,667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2ヵ月平均,エン,エンダイ,マイナビ,type,doda,採用単価平均,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ミカタ,"¥183,333",,"¥36,000",,"¥120,833",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ファースト,,"¥79,166","¥66,667","¥358,333","¥241,666",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ノイエ,"¥166,666",,"¥120,000","¥99,652","¥241,666",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ケンブリ,"¥55,555",,,"¥382,916","¥241,666",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,カンゲン,"¥166,666","¥79,166","¥160,000",,"¥120,833",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,オクパ,"¥166,666",,"¥187,500",,"¥241,666",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,アイエグ,,,"¥93,750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,エメタ,,,"¥93,750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,エンキャピ,"¥166,666",,,"¥79,166","¥66,667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
